,Year,Country,Population.total,Urban.population,Population.largest.city,Rural.population.growth,Fertility.rate,Net.migration,Male.life.expectancy,Female.life.expectancy,Population.category,F.life.expectancy.category,M.life.expectancy.category
1,1960,Afghanistan,8622466,8.401,39.39296467,0,7.282,2606,31.87,33.285,Low Population,Lowest life expectancy,Lower life expectancy
2,1961,Afghanistan,8790140,8.684,39.34820315,1.616510333,7.284,6109,32.409,33.813,Low Population,Lowest life expectancy,Lower life expectancy
3,1962,Afghanistan,8969047,8.976,39.27362116,1.694596635,7.292,7016,32.883,34.297,Low Population,Lowest life expectancy,Lower life expectancy
4,1963,Afghanistan,9157465,9.276,39.18189031,1.748878535,7.302,6681,33.346,34.773,Low Population,Lowest life expectancy,Lower life expectancy
5,1964,Afghanistan,9355514,9.586,39.06937847,1.797359522,7.304,7079,33.828,35.246,Low Population,Lowest life expectancy,Lower life expectancy
6,1965,Afghanistan,9565147,9.904,38.93133558,1.863678409,7.305,10695,34.289,35.702,Low Population,Lowest life expectancy,Lower life expectancy
7,1966,Afghanistan,9783147,10.233,38.78019277,1.88769269,7.32,3563,34.768,36.226,Low Population,Lowest life expectancy,Lower life expectancy
8,1967,Afghanistan,10010030,10.57,38.5693628,1.916512063,7.339,6824,35.225,36.711,Medium Population,Lowest life expectancy,Lower life expectancy
9,1968,Afghanistan,10247780,10.918,38.2859053,1.957454326,7.363,3333,35.712,37.214,Medium Population,Lowest life expectancy,Lower life expectancy
10,1969,Afghanistan,10494489,11.275,37.99564591,1.97735725,7.389,2029,36.206,37.701,Medium Population,Lowest life expectancy,Lower life expectancy
11,1970,Afghanistan,10752971,11.643,37.69193781,2.017563643,7.4,4458,36.692,38.233,Medium Population,Lowest life expectancy,Lower life expectancy
12,1971,Afghanistan,11015857,12.021,37.40349007,1.986638943,7.432,-12801,37.178,38.76,Medium Population,Lowest life expectancy,Lower life expectancy
13,1972,Afghanistan,11286753,12.41,37.73208271,1.986263071,7.453,-4050,37.681,39.3,Medium Population,Lowest life expectancy,Lower life expectancy
14,1973,Afghanistan,11575305,12.809,38.65706784,2.06784679,7.487,-3030,38.241,39.857,Medium Population,Lowest life expectancy,Lower life expectancy
15,1974,Afghanistan,11869879,13.219,39.61916513,2.04167021,7.526,-20009,38.792,40.397,Medium Population,Lower life expectancy,Lower life expectancy
16,1975,Afghanistan,12157386,13.641,40.65716789,1.905816667,7.542,-44418,39.35,40.938,Medium Population,Lower life expectancy,Lower life expectancy
17,1976,Afghanistan,12425267,14.074,41.82373285,1.67686139,7.561,-85430,39.892,41.483,Medium Population,Lower life expectancy,Lower life expectancy
18,1977,Afghanistan,12687301,14.517,43.0650201,1.570061386,7.591,-83115,40.492,42.044,Medium Population,Lower life expectancy,Medium life expectancy
19,1978,Afghanistan,12938862,14.973,44.40577164,1.42850339,7.599,-117186,39.022,41.685,Medium Population,Lower life expectancy,Lower life expectancy
20,1979,Afghanistan,12986369,15.442,46.49490988,-0.186620891,7.612,-481199,37.314,41.143,Medium Population,Lower life expectancy,Lower life expectancy
21,1980,Afghanistan,12486631,15.995,48.95883663,-4.580313011,7.588,-1205401,37.799,41.72,Medium Population,Lower life expectancy,Lower life expectancy
22,1981,Afghanistan,11155195,16.562,55.4980371,-11.95256451,7.568,-2127145,38.312,42.295,Medium Population,Lower life expectancy,Lower life expectancy
23,1982,Afghanistan,10088289,17.147,62.15798118,-10.75660031,7.553,-586943,35.212,40.833,Medium Population,Lower life expectancy,Lower life expectancy
24,1983,Afghanistan,9951449,17.747,63.8449247,-2.092519961,7.537,-192869,35.518,41.38,Low Population,Lower life expectancy,Lower life expectancy
25,1984,Afghanistan,10243686,18.365,62.85704262,2.140160987,7.513,322022,29.793,37.974,Medium Population,Lowest life expectancy,Lowest life expectancy
26,1985,Afghanistan,10512221,18.997,62.09096914,1.810503245,7.517,-210572,29.896,38.316,Medium Population,Lowest life expectancy,Lowest life expectancy
27,1986,Afghanistan,10448442,19.647,63.34254837,-1.414227977,7.519,-427073,36.389,42.909,Medium Population,Lower life expectancy,Lower life expectancy
28,1987,Afghanistan,10322758,20.314,64.78529685,-2.043746077,7.526,-402606,36.739,43.453,Medium Population,Lower life expectancy,Lower life expectancy
29,1988,Afghanistan,10383460,20.998,65.10258361,-0.275757567,7.531,-89837,41.572,46.569,Medium Population,Lower life expectancy,Medium life expectancy
30,1989,Afghanistan,10673168,21.088,65.88518179,2.637888087,7.533,2683,42.891,47.61,Medium Population,Lower life expectancy,Medium life expectancy
